,f,per,std
0,5.741297291728725e-05,56.58038836216319,5.179055770167089
1,0.00015584278510777063,4.2436877452125525,3.6527058398319876
2,0.00025144121376912445,7.119289700086018,1.7138738847202917
3,0.00036162263510902237,1.8084015063269023,11.475762424429774
4,0.0005035451605450612,2.110926951487046,2.6242048386048213
5,0.0006771533956700376,0.5400777831155628,1.7560394182373387
6,0.0008975518476312073,0.3287753523675851,2.7429009612035835
7,0.0011813455031353668,0.5157581345824473,2.9356662378196057
8,0.0015436525495686867,0.4378334089519376,2.176715367527283
9,0.0020161701378717117,0.3278086790336637,2.8014696938381944
10,0.0026305868581798985,0.2321749450802453,2.316884053317133
11,0.003433733404877167,0.1534352615602328,4.130409097624929
12,0.004488986890966534,0.2542831276291302,3.3951323132651896
13,0.005859726098243014,0.27218751435940186,3.013642242912603
14,0.007639611943854065,0.24094595485144688,3.1628139313067183
